taxonomy,version,role_code,codigo,descripcion,concept_qname,canonical_concept,sign_adjust,nature,priority,notes
SFC,2024,520000,520000001,Estado de flujos de efectivo [sinopsis],ifrs_StatementOfCashFlowsAbstract,skip,1,,omit,
SFC,2024,520000,520000002,Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],ifrs_CashFlowsFromUsedInOperatingActivitiesAbstract,skip,1,,omit,
SFC,2024,520000,520000003,Ganancia (pérdida),ifrs_ProfitLoss,,1,,medio,
SFC,2024,520000,520000004,Ajustes para conciliar la ganancia (pérdida) [sinopsis],ifrs_AdjustmentsForReconcileProfitLossAbstract,skip,1,,omit,
SFC,2024,520000,520000005,Ajustes por gasto por impuestos a las ganancias,ifrs_AdjustmentsForIncomeTaxExpense,,1,,medio,
SFC,2024,520000,520000006,Ajustes por costos financieros,ifrs_AdjustmentsForFinanceCosts,,1,,medio,
SFC,2024,520000,520000007,Ajustes por disminuciones (incrementos) en los inventarios,ifrs_AdjustmentsForDecreaseIncreaseInInventories,,1,,medio,
SFC,2024,520000,520000008,Ajustes por disminuciones (incrementos) en la cartera de créditos y operaciones de leasing financiero,co-sfc-core_AjustesDisminucionesIncrementosCarteraCreditosOperacionesLeasingFinanciero,,1,,medio,
SFC,2024,520000,520000009,Ajustes por disminuciones (incrementos) en cuentas por cobrar la actividad aseguradora,co-sfc-core_AjustesDisminucionesIncrementosCuentasCobrarActividadAseguradora,,1,,medio,
SFC,2024,520000,520000010,Ajustes por la disminución (incremento) de cuentas por cobrar de origen comercial,ifrs_AdjustmentsForDecreaseIncreaseInTradeAccountReceivable,,1,,medio,
SFC,2024,520000,520000011,Ajustes por disminuciones (incrementos) en otras cuentas por cobrar derivadas de las actividades de operación,ifrs_AdjustmentsForDecreaseIncreaseInOtherOperatingReceivables,,1,,medio,
SFC,2024,520000,520000012,Ajustes por el incremento (disminución) de cuentas por pagar de origen comercial,ifrs_AdjustmentsForIncreaseDecreaseInTradeAccountPayable,,1,,medio,
SFC,2024,520000,520000013,Ajustes por el incremento (disminución) en depósitos y exigibilidades,co-sfc-core_AjustesIncrementoDisminucionDepositosExigibilidades,,1,,medio,
SFC,2024,520000,520000014,Ajustes por el incremento (disminución) en cuentas por pagar la actividad aseguradora,co-sfc-core_AjustesIncrementoDisminucionCuentasPagarActividadAseguradora,,1,,medio,
SFC,2024,520000,520000015,Ajustes por incrementos (disminuciones) en otras cuentas por pagar derivadas de las actividades de operación,ifrs_AdjustmentsForIncreaseDecreaseInOtherOperatingPayables,,1,,medio,
SFC,2024,520000,520000016,Ajustes por gastos de depreciación y amortización,ifrs_AdjustmentsForDepreciationAndAmortisationExpense,,1,,medio,
SFC,2024,520000,520000017,Ajustes por deterioro de valor (reversiones de pérdidas por deterioro de valor) reconocidas en el resultado del periodo,ifrs_AdjustmentsForImpairmentLossReversalOfImpairmentLossRecognisedInProfitOrLoss,,1,,medio,
SFC,2024,520000,520000018,Ajustes por deterioro de valor (provisiones) de la cartera de créditos y operaciones de leasing financiero,co-sfc-core_AjustesDeterioroValorProvisionesCarteraCreditosOperacionesLeasingFinanciero,,1,,medio,
SFC,2024,520000,520000019,Ajustes por provisiones,ifrs_AdjustmentsForProvisions,,1,,medio,
SFC,2024,520000,520000020,Ajustes por pérdidas (ganancias) de moneda extranjera no realizadas,ifrs_AdjustmentsForUnrealisedForeignExchangeLossesGains,,1,,medio,
SFC,2024,520000,520000021,Ajustes por pagos basados en acciones,ifrs_AdjustmentsForSharebasedPayments,,1,,medio,
SFC,2024,520000,520000022,Ajustes por pérdidas (ganancias) del valor razonable,ifrs_AdjustmentsForFairValueGainsLosses,,1,,medio,
SFC,2024,520000,520000023,Ajustes por ganancias no distribuidas por aplicación del método de participación,ifrs_AdjustmentsForUndistributedProfitsOfAssociates,,1,,medio,
SFC,2024,520000,520000024,Otros ajustes por partidas distintas al efectivo,ifrs_OtherAdjustmentsForNoncashItems,,1,,medio,
SFC,2024,520000,520000025,Ajustes por pérdidas (ganancias) por la disposición de activos no corrientes,ifrs_AdjustmentsForLossesGainsOnDisposalOfNoncurrentAssets,,1,,medio,
SFC,2024,520000,520000026,Otros ajustes para los que los efectos sobre el efectivo son flujos de efectivo de inversión o financiación,ifrs_OtherAdjustmentsForWhichCashEffectsAreInvestingOrFinancingCashFlow,,1,,medio,
SFC,2024,520000,520000027,Otros ajustes para conciliar la ganancia (pérdida),ifrs_OtherAdjustmentsToReconcileProfitLoss,,1,,medio,
SFC,2024,520000,520000028,Total ajustes para conciliar la ganancia (pérdida),ifrs_AdjustmentsForReconcileProfitLoss,,1,,critico,
SFC,2024,520000,520000029,Flujos de efectivo netos procedentes (utilizados en) operaciones,ifrs_CashFlowsFromUsedInOperations,,1,,medio,
SFC,2024,520000,520000030,Dividendos pagados,ifrs_DividendsPaidClassifiedAsOperatingActivities,,1,,medio,
SFC,2024,520000,520000031,Dividendos recibidos,ifrs_DividendsReceivedClassifiedAsOperatingActivities,,1,,medio,
SFC,2024,520000,520000032,Intereses pagados,ifrs_InterestPaidClassifiedAsOperatingActivities,,1,,medio,
SFC,2024,520000,520000033,Intereses recibidos,ifrs_InterestReceivedClassifiedAsOperatingActivities,,1,,medio,
SFC,2024,520000,520000034,Impuestos a las ganancias reembolsados (pagados),ifrs_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,,1,,medio,
SFC,2024,520000,520000035,Otras entradas (salidas) de efectivo,ifrs_OtherInflowsOutflowsOfCashClassifiedAsOperatingActivities,,1,,medio,
SFC,2024,520000,520000036,Flujos de efectivo netos procedentes de (utilizados en) actividades de operación,ifrs_CashFlowsFromUsedInOperatingActivities,,1,,medio,
SFC,2024,520000,520000037,Flujos de efectivo procedentes de (utilizados en) actividades de inversión [sinopsis],ifrs_CashFlowsFromUsedInInvestingActivitiesAbstract,skip,1,,omit,
SFC,2024,520000,520000038,Flujos de efectivo procedentes de la pérdida de control de subsidiarias u otros negocios,ifrs_CashFlowsFromLosingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000039,Flujos de efectivo utilizados para obtener el control de subsidiarias u otros negocios,ifrs_CashFlowsUsedInObtainingControlOfSubsidiariesOrOtherBusinessesClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000040,Otros cobros por la venta de patrimonio o instrumentos de deuda de otras entidades,ifrs_OtherCashReceiptsFromSalesOfEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000041,Otros pagos para adquirir patrimonio o instrumentos de deuda de otras entidades,ifrs_OtherCashPaymentsToAcquireEquityOrDebtInstrumentsOfOtherEntitiesClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000042,Otros cobros por la venta de participaciones en negocios conjuntos,ifrs_OtherCashReceiptsFromSalesOfInterestsInJointVenturesClassifiedAsInvestingActivities,,1,,medio,
SFC,2024,520000,520000043,Otros pagos para adquirir participaciones en negocios conjuntos,ifrs_OtherCashPaymentsToAcquireInterestsInJointVenturesClassifiedAsInvestingActivities,,1,,medio,
